segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint1,effort,0.0,2.809894323348999,2.809894323348999,home,constant,0.0,6.955415678590118e-17,6.955415678590118e-17,6.955415678590118e-17,6.955415678590118e-17
1,joint1,effort,3.0106160640716553,5.820791006088257,2.8101749420166016,gripper_opening,constant,0.0,6.955415678590118e-17,6.955415678590118e-17,6.955415678590118e-17,6.955415678590118e-17
2,joint1,effort,6.0216100215911865,6.8245463371276855,0.802936315536499,pick,ramp_up,0.06081838955054605,-0.4036710914111449,-0.0617379993200302,-0.0007586518768221,-0.01302709889132526
3,joint1,effort,7.02538275718689,15.857414722442627,8.832031965255737,pick,constant,7.869794900835138e-05,-0.001247946015231045,-0.0006950628012418,2.552733467950705e-17,-0.00034753140062088726
4,joint1,effort,16.058157920837402,16.861101865768433,0.8029439449310303,gripper_closing,constant,-1.4533657351148939e-33,2.5527334679507078e-17,2.552733467950705e-17,2.552733467950705e-17,2.552733467950705e-17
5,joint1,effort,17.061856269836426,17.86523413658142,0.8033778667449951,gripper_closing,ramp_down,-7.507537146986967,128.95634804780838,2.552733467950705e-17,-4.316309928894043,-2.151863956451416
6,joint1,effort,18.06588315963745,18.869083642959595,0.8032004833221436,lift,ramp_down,-0.4648411556947254,4.347690453897215,-3.8573098182678223,-4.178609848022461,-4.236749744415283
7,joint1,effort,19.06973123550415,19.872496604919434,0.8027653694152832,lift,ramp_up,6.711308973187639,-133.09482570654,-4.239809513092041,-8.729206564025559e-17,-2.4180838108062743
8,joint1,effort,20.07358193397522,20.876506090164185,0.8029241561889648,place,ramp_up,1.6707967761828049,-33.85727303626683,-8.729206564025559e-17,1.6178330183029177,0.3524020157754421
9,joint1,effort,21.077279090881348,21.880254983901978,0.8029758930206299,place,ramp_down,-1.9908625243240052,43.68915357754675,1.0364329814910889,1.1760860566723848e-16,0.9278598070144654
10,joint1,effort,22.080994606018066,22.88396954536438,0.8029749393463135,place,constant,2.9549741491058236e-32,1.176086056672378e-16,1.1760860566723848e-16,1.1760860566723848e-16,1.1760860566723848e-16
11,joint1,effort,23.084717512130737,24.891262531280518,1.8065450191497803,gripper_opening,constant,0.001246783534802815,-0.02878164569969869,1.1760860566723848e-16,0.0022523705847561,0.0011261852923781087
12,joint1,effort,25.091941118240356,26.898268938064575,1.8063278198242188,retract,constant,-0.001166711170925668,0.03138251084860282,0.0021074628457427,-2.3520470436361522e-17,0.0010537314228713382
13,joint1,effort,27.099015474319458,27.90214729309082,0.8031318187713623,return_home,ramp_up,2.761580647365304,-74.30041611234408,-2.3520470436361522e-17,1.8994375467300413,1.6447643518447876
14,joint1,effort,28.102842092514038,30.91273546218872,2.8098933696746826,return_home,ramp_down,0.03811532888545606,1.4861884535345031,2.557337522506714,2.6644375324249268,2.6108875274658203
15,joint1,effort,31.113445043563843,31.91637659072876,0.802931547164917,return_home,ramp_up,3.7402802223795995,-114.79433103151874,2.1901376247406006,6.334199905395508,3.0801500558853148
